fsym_id	ticker
B00242-R	GSMCX-US
B00484-R	USAAX-US
B005B5-R	HAMT-US
B0060V-R	BRG941-US
B007G7-R	NMGX-US
B009L9-R	IDRNF-US
B00DSD-R	COST-MX
B00FG1-R	PBFX-US
B00FVF-R	GGMC.XX1-US
B00GXG-R	RBBB-US
B00HZH-R	ADGSF-US
B00K1J-R	APACX-US
B00M5L-R	UPLMQ-US
B00SHR-R	NVXXF-US
B00TKS-R	EECPQ-US
B00VRY-R	NJCB-US
B00VSZ-R	MPV.RT.XX1-CA
B00WPV-R	TFINQ-US
B010YZ-R	RSEFX-US
B01210-R	IYVBX-US
B01331-R	FBR.H-CA
B01573-R	THLM-US
B01694-R	GMOEX-US
B017C5-R	CUR.XX1-CA
B019J8-R	RATHF-US
B019ND-R	TFC.PRF-US
B01BK8-R	APTFX-US
B01FRC-R	ABGIX-US
B01GTD-R	CLXM-US
B01HWF-R	OSTK-US
B01JYG-R	MNNBX-US
B01L0H-R	ALT-CA
B01N4K-R	DRE.PRK-US
B01X9G-R	SRRCF-US
B02024-R	AIVCX-US
B02783-R	TSOCF-US
B029J9-R	CBMXW.XX1-US
B02GQB-R	CRFU-US
B02JVD-R	AKKAF-US
B02QGV-R	GRIOX-US
B02XKR-R	MCFZF-US
B02YRX-R	AMTKX-US
B031TW-R	POSITIC1-PE
B036SP-R	RY4563187-US
B03J6T-R	HWCPX-US
B03MYF-R	RSPTX-US
B03P0G-R	HIPODROMOA-CL
B03P4L-R	FNNWF-US
B03QN1-R	SWAGX-US
B03S6K-R	BUET3-BR
B03VBM-R	KIFYX-US
B03W19-R	RY4566048-US
B040SX-R	RYBSX-US
B04763-R	MAPLX-US
B049B5-R	SLVYY-US
B04CB3-R	CDXC-US
B04GJ6-R	DNBD-US
B04HL7-R	BOTJ-US
B04LSB-R	HBP-CA
B04MVC-R	NPSNY-US
B04R1G-R	AXST-US
B04S3H-R	ADYBY-US
B04T5J-R	MTGBX-US
B04TBP-R	KHYKX-US
B04TFS-R	QBTL-CA
B04V7K-R	NPI-CA
B04VCP-R	JIOCX-US
B04XY5-R	FRTA-US
B04YFN-R	OPBCX-US
B050KQ-R	RICOY-US
B054TV-R	OSGFF-US
B05577-R	JPM4224291-US
B056YX-R	RSEGX-US
B05731-R	SMB-US
B0592Z-R	ARQL-US
B05B94-R	UBG-US
B05BF8-R	ETNB-US
B05D92-R	FCFFX-US
B05DF6-R	HFT-EC
B05FC3-R	GAFRX-US
B05JK6-R	DHICX-US
B05L1N-R	SIVB5288204-US
B05LP8-R	OTVLQ-US
B05MWF-R	UBPIX-US
B05PWC-R	CREAX-US
B05QYD-R	CRFT-US
B05V4H-R	DIGA-MX
B05VDR-R	VIVR1.XX5-BR
B05YBL-R	IUTCF-US
B061JP-R	CST.H-CA
B061NT-R	MNGPY-US
B06303-R	BSFC-US
B067XW-R	ICABF-US
B06GLB-R	AMHCU-US
B06HD3-R	ANGO-US
B074MQ-R	JIAAX-US
B07513-R	HHL.B-CA
B078WV-R	AILIN-US
B07B30-R	JNGOX-US
B07D2Y-R	HFJAX-US
B07H91-R	AIR.H-CA
B07JC2-R	PLD-TT
B07JWL-R	FBAYF-US
B07KF3-R	JELAX-US
B07N3Q-R	ASLGX-US
B084Z2-R	NUBI-US
B085LP-R	IGTI3-BR
B08855-R	PEV-US
B08GKC-R	BBTLX-US
B08H5Z-R	SHANF-US
B08ML7-R	EPOL-MX
B08SS8-R	CLQZX-US
B08XN0-R	MSGRX-US
B09Q5S-R	RFIMX-US
B09S5Q-R	TCCPY-US
B0BCXW-R	CVRIX-US
B0BJMF-R	VECPN-MX
B0BKPG-R	HIVE.WT.XX1-CA
B0C8MQ-R	GBNXF-US
B0CXCV-R	WISA-US
B0D0ZB-R	BLEIX-US
B0D5BK-R	VMMSX-US
B0D7LR-R	CS4498045-US
B0FLKD-R	SLIYX-US
B0GMF8-R	PKKTX-US
B0GTYL-R	TSYIX-US
B0GXH1-R	CCBRX-US
B0GYN5-R	CFTMF-US
B0H0S7-R	NVAAX-US
B0HZWD-R	HZAC.UT-US
B0JLPM-R	CCOIX-US
B0KFMR-R	BCS5040028-US
B0KV90-R	FCACU-US
B0LD7F-R	ZDY-CA
B0LKKL-R	MCDNX-US
B0LTJ9-R	HDEF-US
B0LZG2-R	GS5047034-US
B0M99M-R	MXUGX-US
B0MB3D-R	FFRFX-US
B0MP53-R	BRLBX-US
B0MSXR-R	EGLDF-US
B0NJNS-R	KLDW-US
B0NLXZ-R	PLYAW-US
B0NQNL-R	TMBBY-US
B0NW1V-R	VCKSX-US
B0P3SB-R	LTCCF-US
B0P5YF-R	PT-US
B0PMRT-R	ETNMX-US
B0PNPQ-R	FAEDX-US
B0Q1L7-R	GLDPX-US
B0Q3F0-R	UBS5044171-US
B0QY92-R	BMTX-US
B0R9V8-R	FOXWU-US
B0RSXW-R	FIKCX-US
B0T7N6-R	UBSNF-US
B0T8FZ-R	HIGA.WT-US
B0TXKG-R	VAC-US
B0V6BZ-R	OLK-US
B0VZ2Z-R	AFYA-US
B0W3ZQ-R	ALFIW-US
B0W4TJ-R	EPGFX-US
B0WBP6-R	BAPR-US
B0WL3D-R	BELSX-US
B0X92P-R	CNWFX-US
B0XB1M-R	ATHL-US
B0XGDV-R	GMFSX-US
B0XKLY-R	DFYGX-US
B0Y1KF-R	MYR-CA
B0YBL5-R	CWV.RT.XX1-CA
B0YHN2-R	ASCA-US
B0YJFV-R	EBND.NV-US
B0YMMY-R	CEMFX-US
B0YPS0-R	MAGBX-US
B0YQV1-R	HIMDX-US
B0YT7C-R	MSEIF-US
B0ZCK4-R	SMPL-US
B101C9-R	JPBAX-US
B103VQ-R	PGD.RT.XX4-CA
B10DJ3-R	YOVLX-US
B10TZ4-R	GAMCW-US
B10YFH-R	SPFLX-US
B10ZNP-R	BUIMX-US
B113XT-R	APMI-CA
B12100-R	SOLDEC1-PE
B12BZP-R	FORG-US
B12HXG-R	BKW-US
B12KJ0-R	ERDLF-US
B12Z14-R	SPNT.PRB-US
B13596-R	LMMIX-US
B13F5V-R	PXCIX-US
B13JWF-R	DX.PRA-US
B143BB-R	GREEL-US
B14641-R	PFNO-US
B14685-R	CLVSF-US
B14762-R	RGR-US
B147GB-R	CVBI12.XX1-BR
B147HC-R	ITAU.OSA.XX1-CL
B14883-R	GSLBX-US
B149B4-R	MEAT-CA
B14CLB-R	AHT.PRD-US
B14GN9-R	KB-US
B14HQB-R	ECNDX-US
B14JSC-R	PGGMX-US
B14P1H-R	BOGLX-US
B14T9M-R	JOSMF-US
B150PT-R	SLBBX-US
B151WZ-R	HLEAX-US
B1560Z-R	DRE.PRJ-US
B15653-R	CPUBM-US
B157JF-R	ROK.WT-CA
B159C6-R	AEKBX-US
B15B93-R	EVMOX-US
B15CC4-R	FSLCX-US
B15CSK-R	WMMAAX-US
B15DF5-R	GIDEX-US
B15GK7-R	AMEH-US
B15JP9-R	BCKMF-US
B15MWD-R	SPGYF-US
B15NYF-R	GTII-US
B15Q0G-R	DLIAQ-US
B15T6K-R	VIGRX-US
B15VDQ-R	VDRM-US
B15Z4B-R	ALCSX-US
B160LR-R	YDWAF-US
B16GG5-R	DITTF-US
B16KXJ-R	GNL.PRB-US
B16PCW-R	GREMF-US
B16PXD-R	ISCB-US
B174RT-R	DRXGF-US
B175YZ-R	YCM.PRA-CA
B176WW-R	LOGL-US
B177YX-R	HIP-CA
B1790Y-R	QCLGX-US
B17BNJ-R	RBCUX-US
B17K0P-R	CRRGF-US
B17MTD-R	CETETRCISHRS-MX
B17ZBL-R	CSAB3-BR
